relative_time,AccX,AccY,AccZ
18471,-0.6201603698730469,-1.3358221435546875,9.694440307617189
18534,-0.6451583862304687,-1.3593232727050781,9.666298828125
18601,-0.6971003723144532,-1.4117143249511719,9.996961212158203
18669,-0.7023394775390626,-1.4061758422851562,9.811047821044923
18734,-0.7194039916992188,-1.4016851806640627,9.762398986816407
18801,-0.7475454711914062,-1.4367123413085938,10.020612030029298
18870,-0.7232958984375001,-1.3730946350097657,9.714049530029298
18934,-0.7096742248535156,-1.3412109375,9.662556610107423
19001,-0.6785389709472657,-1.3067825317382813,9.675729217529298
19071,-0.6828799438476563,-1.2521461486816408,9.797126770019531
19134,-0.6671626281738282,-1.1967613220214843,9.795031127929688
19201,-0.6590794372558594,-1.1129356384277345,9.75686050415039
19270,-0.6590794372558594,-1.0523117065429688,9.65477279663086
19334,-0.6415658569335938,-1.014290771484375,9.66719696044922
19401,-0.6337820434570313,-0.9990225219726563,9.70551727294922
19470,-0.6039939880371094,-1.0353968811035157,9.812544708251954
19534,-0.5743556213378906,-1.0386900329589843,9.60013641357422
19601,-0.5599855041503906,-1.0915301513671876,9.754764862060547
19670,-0.5153782653808594,-1.0871891784667969,9.530082092285157
19734,-0.51732421875,-1.149609375,9.683962097167969
19801,-0.5141807556152344,-1.1548484802246095,9.662257232666017
19870,-0.5313949584960938,-1.199605407714844,9.720785522460938
19934,-0.5840853881835938,-1.2422666931152344,9.877659301757813
20001,-0.6108796691894531,-1.2900173950195313,9.787995758056642
20070,-0.6438111877441407,-1.3489947509765625,9.75775863647461
20134,-0.6783892822265626,-1.3952485656738283,9.880204010009766
20201,-0.6878196716308594,-1.4401551818847658,9.8339501953125
20270,-0.6923103332519531,-1.4374607849121095,9.728269958496094
20334,-0.6959028625488282,-1.4627581787109376,9.980345764160157
20401,-0.6728507995605469,-1.3959970092773437,9.670789489746094
20470,-0.6616241455078126,-1.347048797607422,9.672735443115235
20534,-0.7011419677734375,-1.268162841796875,9.63606170654297
20601,-0.749491424560547,-1.2247531127929687,9.891580352783203
20670,-0.741108856201172,-1.1633807373046876,9.79368392944336
